Job title ,Hiring Company,Comapny Address,Shift,Links
Academic Supervisor,Hi-Q Academy,"Nasr City, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/Tc8KdXXVTU3D-Academic-Supervisor-Hi-Q-Academy-Cairo-Egypt?o=1&l=sp&t=sj&a=academic|search-v3|hpb|spbg
Assistant Academic Coordinator,E-Planet ,"6th of October, Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/71OqXyOAFU2M-Assistant-Academic-Coordinator-E-Planet-Giza-Egypt?o=2&l=sp&t=sj&a=academic|search-v3|hpb|spbg
Academic Coordinator,Hi-Q Academy,"Nasr City, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/nhzW8zDlHg2M-Academic-Coordinator-Hi-Q-Academy-Cairo-Egypt?o=3&l=sp&t=sj&a=academic|search-v3|hpb|spbg
Academic Assistant To a Training Company - Maadi,Confidential -,"Maadi, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/EXiJpde0LLS0-Academic-Assistant-To-a-Training-Company---Maadi-Cairo-Egypt?o=4&l=sp&t=sj&a=academic|search-v3|hpb|spbg
Preschool Montessori Arabic Teacher (New Academic Year),Trillium Preschool,"New Cairo, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/M48cJhfKQl5x-Preschool-Montessori-Arabic-Teacher-New-Academic-Year-Trillium-Preschool-Cairo-Egypt?o=5&l=sp&t=sj&a=academic|search-v3|hpb|spbg
Preschool Montessori English Teacher (New Academic Year),Trillium Preschool,"New Cairo, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/Xx44NluV3FoV-Preschool-Montessori-English-Teacher-New-Academic-Year-Trillium-Preschool-Cairo-Egypt?o=6&l=sp&t=sj&a=academic|search-v3|hpb|spbg
Academic Director - Sharqia,Altaqwa Alazhari ,"Zagazig, Sharqia, Egypt ",Full time,https://wuzzuf.net/jobs/p/piAMNThevAnr-Academic-Director---Sharqia-Altaqwa-Alazhari-Sharqia-Egypt?o=7&l=sp&t=sj&a=academic|search-v3|hpb|spbg
Academic Professor - Giza,The Higher Institute for Administrative Sciences,"Warraq, Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/ACobbtl5gFLt-Academic-Professor---Giza-The-Higher-Institute-for-Administrative-Sciences-Giza-Egypt?o=8&l=sp&t=sj&a=academic|search-v3|hpb|spbg
Academic Supervisor,Upedia,"Maadi, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/j07o1OvpLiZe-Academic-Supervisor-Upedia-Cairo-Egypt?o=9&l=sp&t=sj&a=academic|search-v3|hpb|spbg
Academic Coordinator,International Nursery,"Nasr City, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/H6onQl3QOie1-Academic-Coordinator-International-Nursery-Cairo-Egypt?o=10&l=sp&t=sj&a=academic|search-v3|hpb|spbg
