Job title ,Hiring Company,Comapny Address,Shift,Links
Teaching Assistnat - Computer Science - Data Science,Confidential -,"New Capital, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/S2E22vk9zc8C-Teaching-Assistnat---Computer-Science---Data-Science-Cairo-Egypt?o=1&l=sp&t=sj&a=data science|search-v3|hpb|spbg
Medical Data Entry (Science),NEXtCARE,"New Cairo, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/EbMwjEHOanjz-Medical-Data-Entry-Science-NEXtCARE-Cairo-Egypt?o=2&l=sp&t=sj&a=data science|search-v3|hpb|spbg
Data Science Engineer,"Nile Bits, LLC","6th of October, Giza, Egypt ",Shift based,https://wuzzuf.net/jobs/p/Xp8BVfZo3KwP-Data-Science-Engineer-Nile-Bits-LLC-Giza-Egypt?o=3&l=sp&t=sj&a=data science|search-v3|hpb|spbg
Data Engineer,AFKAR Technology,"Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/QzadPVMQMC0D-Data-Engineer-AFKAR-Technology-Cairo-Egypt?o=4&l=sp&t=sj&a=data science|search-v3|hpb|spbg
Big Data Engineer - Jumia Food,Jumia,"Cairo, Egypt ",Work from home,https://wuzzuf.net/jobs/p/VJiL96W9vv81-Big-Data-Engineer---Jumia-Food-Jumia-Cairo-Egypt?o=5&l=sp&t=sj&a=data science|search-v3|hpb|spbg
Business Intelligence Specialist Data Analyst/ Big Data Engineer,LG Electronics,"Katameya, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/6TpapM9YYEpi-Business-Intelligence-Specialist-Data-Analyst-Big-Data-Engineer-LG-Electronics-Cairo-Egypt?o=6&l=sp&t=sj&a=data science|search-v3|hpb|spbg
Data Analyst,Future Group,"Mohandessin, Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/R5pHJODHFseJ-Data-Analyst-Future-Group-Giza-Egypt?o=7&l=sp&t=sj&a=data science|search-v3|hpb|spbg
Senior Data Analyst,Nana,"Sheraton, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/1AUith8WXZ0C-Senior-Data-Analyst-Nana-Cairo-Egypt?o=8&l=sp&t=sj&a=data science|search-v3|hpb|spbg
CBE Regulatory - i-score Reporting IT Data Engineer,Confidential -,"Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/EzUCHogVatJU-CBE-Regulatory---i-score-Reporting-IT-Data-Engineer-Cairo-Egypt?o=9&l=sp&t=sj&a=data science|search-v3|hpb|spbg
Sr. Data Visualization And Support Engineer,e-finance,"Smart Village, Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/xAKu0TiUNoVB-Sr-Data-Visualization-And-Support-Engineer-e-finance-Giza-Egypt?o=10&l=sp&t=sj&a=data science|search-v3|hpb|spbg
