Job title ,Hiring Company,Comapny Address,Shift,Links
Supply Chain Manager - Pharmaceutical,Multicare,"New Cairo, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/p6tfXgfDxmGw-Supply-Chain-Manager---Pharmaceutical-Multicare-Cairo-Egypt?o=1&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
R&D Formulation Section Head - Pharmaceutical,Marcyrl Pharmaceutical Industry,"Obour City, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/1w0tQreByBbv-RD-Formulation-Section-Head---Pharmaceutical-Marcyrl-Pharmaceutical-Industry-Cairo-Egypt?o=2&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Solid Production Supervisor - Pharmaceutical,Marcyrl Pharmaceutical Industry,"Obour City, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/mHhGSel8RoxS-Solid-Production-Supervisor---Pharmaceutical-Marcyrl-Pharmaceutical-Industry-Cairo-Egypt?o=3&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Pharmaceutical Plant Manager,Sabaa Pharmaceuticals,"Baltim, Kafr Alsheikh, Egypt ",Full time,https://wuzzuf.net/jobs/p/LxS4usL2K1sG-Pharmaceutical-Plant-Manager-Sabaa-Pharmaceuticals-Kafr-Alsheikh-Egypt?o=4&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Pharmaceutical National Sales Manager,Semak,"Dokki, Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/SVKnuWe74wrD-Pharmaceutical-National-Sales-Manager-Semak-Giza-Egypt?o=5&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Pharmaceutical Marketing Manager,Semak,"Dokki, Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/jL6UzrKvLbrU-Pharmaceutical-Marketing-Manager-Semak-Giza-Egypt?o=6&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Junior Quality Control - Pharmaceutical,Marcyrl Pharmaceutical Industry,"Obour City, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/joZMYy0e0peK-Junior-Quality-Control---Pharmaceutical-Marcyrl-Pharmaceutical-Industry-Cairo-Egypt?o=7&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Market Access Manager - Pharmaceutical,Semak,"Dokki, Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/qM3NMlNmWR22-Market-Access-Manager---Pharmaceutical-Semak-Giza-Egypt?o=8&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Pharmaceutical Sales Representative,Soficopharm,"Nasr City, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/YMHX1nyFrcwF-Pharmaceutical-Sales-Representative-Soficopharm-Cairo-Egypt?o=9&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Tenders Supervisor - Pharmaceutical Industry,Pharaonia Pharma,"Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/0jVKm68tMPJY-Tenders-Supervisor---Pharmaceutical-Industry-Pharaonia-Pharma-Cairo-Egypt?o=10&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Pharmaceutical Marketing Manager,iConsult,"Heliopolis, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/382jyYBp60Eq-Pharmaceutical-Marketing-Manager-iConsult-Cairo-Egypt?o=11&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Supply Chain Manager - Pharmaceutical,Multicare Egypt,"New Cairo, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/tsoKCMXwKYOP-Supply-Chain-Manager---Pharmaceutical-Multicare-Egypt-Cairo-Egypt?o=12&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Pharmaceutical Planning Specialist,Riva Pharma,"Nasr City, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/46iBDmiI92Xg-Pharmaceutical-Planning-Specialist-Riva-Pharma-Cairo-Egypt?o=13&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
R&D Formulation Supervisor - Pharmaceutical,Marcyrl Pharmaceutical Industry,"Obour City, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/5PYWuRnuLuu2-RD-Formulation-Supervisor---Pharmaceutical-Marcyrl-Pharmaceutical-Industry-Cairo-Egypt?o=14&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Electrical Engineer - Pharmaceutical Industry,Global Napi Pharmaceuticals,"6th of October, Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/6254AVdWBBSx-Electrical-Engineer---Pharmaceutical-Industry-Global-Napi-Pharmaceuticals-Giza-Egypt?o=15&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Foreign Purchasing Specialist,Al Andalous Pharmaceutical Industries,"6th of October, Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/7jOcbo2XDmKU-Foreign-Purchasing-Specialist-Al-Andalous-Pharmaceutical-Industries-Giza-Egypt?o=16&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Mechanical Engineer - Pharmaceutical Industry,Global Napi Pharmaceuticals,"6th of October, Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/0TwFjyRBdsXp-Mechanical-Engineer---Pharmaceutical-Industry-Global-Napi-Pharmaceuticals-Giza-Egypt?o=17&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Validation Specialist,Al Andalous Pharmaceutical Industries,"Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/FV95xe5hSwDx-Validation-Specialist-Al-Andalous-Pharmaceutical-Industries-Giza-Egypt?o=18&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Production Packaging Section Head,Al Andalous Pharmaceutical Industries,"Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/mUhet6VG8xw0-Production-Packaging-Section-Head-Al-Andalous-Pharmaceutical-Industries-Giza-Egypt?o=19&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
QC Raw Material Analyst,Al Andalous Pharmaceutical Industries,"Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/rDQKgRcQ3jNI-QC-Raw-Material-Analyst-Al-Andalous-Pharmaceutical-Industries-Giza-Egypt?o=20&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Production Pharmacist - Monufya,Atco Pharma For Pharmaceutical Industries,"Monufya, Egypt ",Full time,https://wuzzuf.net/jobs/p/toRYmnPxCcrT-Production-Pharmacist---Monufya-Atco-Pharma-For-Pharmaceutical-Industries-Monufya-Egypt?o=21&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Storekeeper / Pharmacy - CSH,Cleopatra Hospitals Group,"Heliopolis, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/p6CWVyhOg7ju-Storekeeper-Pharmacy---CSH-Cleopatra-Hospitals-Group-Cairo-Egypt?o=22&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Senior Medical Representative - Kafr El Sheikh,Repro IVF Center,"Kafr Alsheikh, Egypt ",Full time,https://wuzzuf.net/jobs/p/oYWR0IE1yKRJ-Senior-Medical-Representative---Kafr-El-Sheikh-Repro-IVF-Center-Kafr-Alsheikh-Egypt?o=23&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Regulatory Affairs Specialist,Ray,"Dokki, Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/WsqLgw8TPbZq-Regulatory-Affairs-Specialist-Ray-Giza-Egypt?o=24&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Brand Manager (Anti-Infective),So Value Pharma,"Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/qYNbgA87yQNO-Brand-Manager-Anti-Infective-So-Value-Pharma-Cairo-Egypt?o=25&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Brand Manager (CNS),So Value Pharma,"Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/GypQS6ztNZYu-Brand-Manager-CNS-So-Value-Pharma-Cairo-Egypt?o=26&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
R&D Coordinator,Al Andalous Pharmaceutical Industries,"6th of October, Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/qEPoMnOJn4Ny-RD-Coordinator-Al-Andalous-Pharmaceutical-Industries-Giza-Egypt?o=27&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Cosmetics Specialist,Zikry-Pharmacies ,"Heliopolis, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/Y94qiCrIb8Ls-Cosmetics-Specialist-Zikry-Pharmacies-Cairo-Egypt?o=28&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
R&D Methodology Analyst,Al Andalous Pharmaceutical Industries,"6th of October, Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/39axskGZXCaZ-RD-Methodology-Analyst-Al-Andalous-Pharmaceutical-Industries-Giza-Egypt?o=29&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
R&D Stability Analyst,Al Andalous Pharmaceutical Industries,"6th of October, Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/WuKK6H1xvjkd-RD-Stability-Analyst-Al-Andalous-Pharmaceutical-Industries-Giza-Egypt?o=30&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Field Medical Associate - Alexandria (French Speakers),Caduceus Lane,"Alexandria, Egypt ",Full time,https://wuzzuf.net/jobs/p/CA0EINKMNbaf-Field-Medical-Associate---Alexandria-French-Speakers-Caduceus-Lane-Alexandria-Egypt?o=31&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Medical Representative - Cairo/Giza,Multicare,"Maadi, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/pVL0nrzTmABN-Medical-Representative---CairoGiza-Multicare-Cairo-Egypt?o=32&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Brand Lead - Cardiovascular (CVS) Therapy Area,Multicare,"New Cairo, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/5jSovkLpwRA9-Brand-Lead---Cardiovascular-CVS-Therapy-Area-Multicare-Cairo-Egypt?o=33&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Medical Manager- Alexandria,Caduceus Lane,"Alexandria, Egypt ",Full time,https://wuzzuf.net/jobs/p/HZOnML38qpwE-Medical-Manager--Alexandria-Caduceus-Lane-Alexandria-Egypt?o=34&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
New Products Developer (Pharmacist),EVA Cosmetics ,"6th of October, Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/d5wC5Bs7r8Ol-New-Products-Developer-Pharmacist-EVA-Cosmetics-Giza-Egypt?o=35&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Field Medical Associate - Alexandria,Caduceus Lane,"Alexandria, Egypt ",Full time,https://wuzzuf.net/jobs/p/3sMq2t4fsrUK-Field-Medical-Associate---Alexandria-Caduceus-Lane-Alexandria-Egypt?o=36&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Area Manager,Confidential -,"Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/1HgCYc3Y7VdN-Area-Manager-Cairo-Egypt?o=37&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
