Job title ,Hiring Company,Comapny Address,Shift,Links
Pharmacist - Alexandria,Khalil Pharmacies,"Alexandria, Egypt ",Full time,https://wuzzuf.net/jobs/p/g0qrNsBMb5EC-Pharmacist---Alexandria-Khalil-Pharmacies-Alexandria-Egypt?o=1&l=sp&t=sj&a=pharmacist|search-v3|navbg|spbg
Pharmacist,Confidential -,"6th of October, Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/qKJIM7XosoH0-Pharmacist-Giza-Egypt?o=2&l=sp&t=sj&a=pharmacist|search-v3|navbg|spbg
Pharmacist,Yodawy,"Mohandessin, Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/gCNnPn0GHszb-Pharmacist-Yodawy-Giza-Egypt?o=3&l=sp&t=sj&a=pharmacist|search-v3|navbg|spbg
Production Pharmacist - Monufya,Atco Pharma For Pharmaceutical Industries,"Monufya, Egypt ",Full time,https://wuzzuf.net/jobs/p/toRYmnPxCcrT-Production-Pharmacist---Monufya-Atco-Pharma-For-Pharmaceutical-Industries-Monufya-Egypt?o=4&l=sp&t=sj&a=pharmacist|search-v3|navbg|spbg
Community Pharmacist,Confidential -,"Sheikh Zayed, Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/iLd0hccjKXl4-Community-Pharmacist-Giza-Egypt?o=5&l=sp&t=sj&a=pharmacist|search-v3|navbg|spbg
IV Mixing Pharmacist,Andalusia Group,"Maadi, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/8MZpdUJGTfVp-IV-Mixing-Pharmacist-Andalusia-Group-Cairo-Egypt?o=6&l=sp&t=sj&a=pharmacist|search-v3|navbg|spbg
New Products Developer (Pharmacist),EVA Cosmetics ,"6th of October, Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/d5wC5Bs7r8Ol-New-Products-Developer-Pharmacist-EVA-Cosmetics-Giza-Egypt?o=7&l=sp&t=sj&a=pharmacist|search-v3|navbg|spbg
Pharmacist - Heliopolis (Afternoon Shift),Zikry-Pharmacies ,"Heliopolis, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/rTe1yrHpdCRa-Pharmacist---Heliopolis-Afternoon-Shift-Zikry-Pharmacies-Cairo-Egypt?o=8&l=sp&t=sj&a=pharmacist|search-v3|navbg|spbg
Pharmacist,ElBeisy,"Alexandria, Egypt ",Full time,https://wuzzuf.net/jobs/p/5cUKNjW8oZm5-Pharmacist-ElBeisy-Alexandria-Egypt?o=9&l=sp&t=sj&a=pharmacist|search-v3|navbg|spbg
Pharmacist,Confidential -,"Sheikh Zayed, Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/TFCuWfN9d1zf-Pharmacist-Giza-Egypt?o=10&l=sp&t=sj&a=pharmacist|search-v3|navbg|spbg
Medical Provider Network Pharmacist,NEXtCARE,"New Cairo, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/cHfKIMFKRZTd-Medical-Provider-Network-Pharmacist-NEXtCARE-Cairo-Egypt?o=11&l=sp&t=sj&a=pharmacist|search-v3|navbg|spbg
Medical Call Center Approval Officer (Pharmacist),NEXtCARE,"New Cairo, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/jMmg3JJU4hqF-Medical-Call-Center-Approval-Officer-Pharmacist-NEXtCARE-Cairo-Egypt?o=12&l=sp&t=sj&a=pharmacist|search-v3|navbg|spbg
Sales Coordinator - Pharmacist,Optimarc pharma,"Cairo, Egypt ",Shift based,https://wuzzuf.net/jobs/p/AOjJEdYAoMsU-Sales-Coordinator---Pharmacist-Optimarc-pharma-Cairo-Egypt?o=13&l=sp&t=sj&a=pharmacist|search-v3|navbg|spbg
Registration Pharmacist- Alexandria,Pharaonia Pharma,"Bourj Alarab, Alexandria, Egypt ",Full time,https://wuzzuf.net/jobs/p/JJsp98fNA92l-Registration-Pharmacist--Alexandria-Pharaonia-Pharma-Alexandria-Egypt?o=14&l=sp&t=sj&a=pharmacist|search-v3|navbg|spbg
Research & Development Pharmacist (Formulation & Analytical Research),Hikma Pharmaceuticals,"6th of October, Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/p7UgcQRQ4urm-Research-Development-Pharmacist-Formulation-Analytical-Research-Hikma-Pharmaceuticals-Giza-Egypt?o=15&l=sp&t=sj&a=pharmacist|search-v3|navbg|spbg
Logistics Coordinator - Pharmacist,Optimarc pharma,"Heliopolis, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/7jOURKCgShwa-Logistics-Coordinator---Pharmacist-Optimarc-pharma-Cairo-Egypt?o=16&l=sp&t=sj&a=pharmacist|search-v3|navbg|spbg
Pharmacist - Cairo,Dawaa Pharmacy,"New Cairo, Cairo, Egypt ",Shift based,https://wuzzuf.net/jobs/p/3GjG9ngkBTWQ-Pharmacist---Cairo-Dawaa-Pharmacy-Cairo-Egypt?o=17&l=sp&t=sj&a=pharmacist|search-v3|navbg|spbg
