Job Title,Location,Post Time,Job Description,Requirments,Links
Senior Front End Developer - Python,"Flairstech - Maadi, Cairo", 1 day ago,"Job Description: -We are looking for new team members that help us bring Envase TMS fully into the cloud. As a Sr. Engineer, you’ll be responsible for the design and implementation of web applications using TypeScript and Python in the AWS cloud.",,https://wuzzuf.net/jobs/p/94MkJ9Pp8vUc-Senior-Front-End-Developer---Python-Flairstech-Cairo-Egypt?o=1&l=sp&t=sj&a=python|search-v3|navbg|spbg
Python Developer,"Trufla - Heliopolis, Cairo", 15 minutes ago,"Trufla Technology is a Canadian company and the first of its kind – we offer a complete suite of digital solutions for the modern insurance brokerage. From SEO and web design, to lead management, branded customer service and API’s, Trufla provides a 360° digital strategy for brokerages and reimagines the way their customers interact with insurance. Think insurance is boring? Think again.Trufla is leading a digital revolution that will transform the insurance industry! We’re growing fast, and we’re looking for visionaries to join our team of innovators and disruptors at our Cairo offices. It’s our goal for Trufla to be the BEST place to work. A great corporate culture is one of our top priorities.We’ve put together some great benefits:Competitive SalaryHealth InsuranceGym MembershipFlexible Working HoursContinuing Education OpportunitiesAbout our offices:New Modern OfficeCentral Cairo LocationPlayStationTeam Building ActivitiesMilestone celebrations – work anniversaries, birthday celebrations, etc.ABOUT YOUYou're passionate about bringing ideas to life through technology. You need to be a part of a team focused on providing exceptional solutions to both internal and external customers, with a solid foundation in website development technology. You're also passionate about learning and evaluating new and emerging technologies. You're well organized and can balance multiple tasks and competing priorities. You're also driven to meet deadlines and flourish in an environment that's demanding and fast-paced. You're an experienced developer with a passion for delivering solutions to clients. You have strong English language skills, both spoken and written.RESPONSIBILITIESWrite reusable, testable, and efficient code.Build efficient back-end featuresManage testing and bug fixes.Prepare technical documentation.Collaborate with other team members.Implement software enhancements and suggest improvements.",,https://wuzzuf.net/jobs/p/iXoVWzxBvspY-Python-Developer-Trufla-Cairo-Egypt?o=2&l=sp&t=sj&a=python|search-v3|navbg|spbg
Senior Software Engineer - Python,"Paymob Solutions - Maadi, Cairo", 9 days ago,"We are looking for a Senior Software Engineer to build functional and efficient server-side applications.Senior Software Engineer responsibilities include participating in all phases of the software development lifecycle and coaching junior developers. If you’re a seasoned developer with a love for back-end technologies, we’d like to meet you.ResponsibilitiesHelp design and implement functional requirements.Build efficient back-end features in Python.Integrate front-end components into applications.Manage testing and bug fixes.Prepare technical documentation.Collaborate with UX/UI designers to implement design into the code.Collaborate with other team members.Coach junior team members.Implement software enhancements and suggest improvements.",16Viewed5In Consideration0Not Selected,https://wuzzuf.net/jobs/p/Wrdr2Xlz7Iw0-Senior-Software-Engineer---Python-Paymob-Solutions-Cairo-Egypt?o=3&l=sp&t=sj&a=python|search-v3|navbg|spbg
Python Developer,"ADVINTIC - Cairo, Egypt", 9 days ago,"Python developer responsibilities include designing and developing high-volume, low-latency applications and delivering high-availability and performanceExcellent problem solving and communication skillsContribute to all phases of the development lifecycleWrite well designed, testable, efficient codeEnsure designs are in compliance with specificationsPrepare and produce releases of software componentsSupport continuous improvement by investigating alternatives and technologies and presenting these for architectural review",1Viewed0In Consideration0Not Selected,https://wuzzuf.net/jobs/p/1JoaiLsEbEba-Python-Developer-ADVINTIC-Cairo-Egypt?o=4&l=sp&t=sj&a=python|search-v3|navbg|spbg
Full Stack Python & Java Developer,"Nureab - Nasr City, Cairo", 4 days ago,Nureab is a pioneer company in the domain of manufacturing Rehabilitation Robotics. We're looking for a talented full-stack engineer to join our team immediately you will be responsible for working on our mobile application. ,1Viewed0In Consideration0Not Selected,https://wuzzuf.net/jobs/p/Ijq5EqIj28o3-Full-Stack-Python-Java-Developer-Nureab-Cairo-Egypt?o=5&l=sp&t=sj&a=python|search-v3|navbg|spbg
Full Stack Python Developer,"Crevisoft Corporation - Cairo, Egypt", 11 days ago,"We are looking for a Full Stack Python Developer to build functional and efficient server-side applications.Senior Python Developer responsibilities include participating in all phases of the software development lifecycle and coaching junior developers. If you’re a seasoned developer with a love for back-end technologies, we’d like to meet you.Your ultimate goal is to create high-quality products that meet customer needs.ResponsibilitiesHelp design and implement functional requirementsBuild efficient back-end features in PythonPlanning and follow-up tasksManage testing and bug fixesPrepare technical documentationCoach junior team membersImplement software enhancements and suggest improvements",18Viewed5In Consideration1Not Selected,https://wuzzuf.net/jobs/p/ixZFQx49DuUY-Full-Stack-Python-Developer-Crevisoft-Corporation-Cairo-Egypt?o=6&l=sp&t=sj&a=python|search-v3|navbg|spbg
Senior Full Stack Python Developer,"Flairstech - Maadi, Cairo", 7 days ago,"Job Description: -We are looking for new team members that help us bring Envase TMS fully into the cloud. As a Sr. Engineer, you’ll be responsible for the design and implementation of web applications using TypeScript and Python in the AWS cloud.",,https://wuzzuf.net/jobs/p/7V9FZCMeAMYp-Senior-Full-Stack-Python-Developer-Flairstech-Cairo-Egypt?o=7&l=sp&t=sj&a=python|search-v3|navbg|spbg
Backend Engineer - Python/Django,"Paymob Solutions - Maadi, Cairo", 15 days ago,"We are looking for a Software Engineer to build functional and efficient server-side applications.Software Engineer responsibilities include participating in all phases of the software development lifecycle. If you’re a seasoned developer with a love for back-end technologies, we’d like to meet you.ResponsibilitiesHelp design and implement functional requirements.Build efficient back-end features in Python.Integrate front-end components into applications.Manage testing and bug fixes.Prepare technical documentation.Collaborate with UX/UI designers to implement design into the code.Collaborate with other team members.Implement software enhancements and suggest improvements.",54Viewed12In Consideration0Not Selected,https://wuzzuf.net/jobs/p/dgFpvP0U4T0Z-Backend-Engineer---PythonDjango-Paymob-Solutions-Cairo-Egypt?o=8&l=sp&t=sj&a=python|search-v3|navbg|spbg
"Full Stack Developer PHP, PYTHON, REACT - Remote Full Time","Tqniat Lab L.L.C - Nasr City, Cairo", 18 days ago,"With a presence in Europe and Cairo, our company works for multinational clients and provide them with the best software solutions, we're currently expanding and we're looking for a talented full stack engineers to join our team immediately. Responsibilities:Design, Implement, Test and deploy our solutions, supporting our large scale products and services.Resolve technical issues through debugging, research and investigation.Analyze problems and design best solutions utilizing the technical skills of the team.Perform code reviews for peer developersMentor and provide technical support for other team members including junior developers.Collaborate efficiently with local and international partner teams, both technical and non-technical.",26Viewed13In Consideration6Not Selected,https://wuzzuf.net/jobs/p/y2mQB5Amdd2g-Full-Stack-Developer-PHP-PYTHON-REACT---Remote-Full-Time-Tqniat-Lab-L-L-C-Cairo-Egypt?o=9&l=sp&t=sj&a=python|search-v3|navbg|spbg
Python Developer (Flask) - Ocucon Team (UK) - (Alexandria),"Procrew - San Stefano, Alexandria", 19 days ago,"ProCrew is a partner of Ocucon (UK),  become the largest provider of video analytics services. We believe that success is based on outstanding service, delivered consistently by enthusiastic and visionary people.We’re looking to expand our existing Software Development function with a skilled developer who has commercial experience developing RESTful APIs using Flask.You should be able to collaborate with our Product team, providing your opinions (modifying them where appropriate), regarding what is and isn’t feasible. Once the scope has been agreed the goal is for clean and crisp code that reduces duplication through the creation of reusable assets.We’re committed to creating a diverse, multi-disciplined team, where all colleagues can be themselves and succeed on merit. If you want to be a part of a company that is growing at a pace – we’d love to hear from you!Key ResponsibilitiesConsistently write clean, and tested code.Ensure that code is written in such a way that it exploits the frameworks that are in use within our applications and is consistent with our practices and patterns.Monitor and benchmark applications in production to find opportunities for improvement in usability and functionality.Actively participate in peer-reviews of pull requests, to ensure that quality code is released.",14Viewed2In Consideration9Not Selected,https://wuzzuf.net/jobs/p/LxYNtL3C1XXh-Python-Developer-Flask---Ocucon-Team-UK---Alexandria-Procrew-Alexandria-Egypt?o=10&l=sp&t=sj&a=python|search-v3|navbg|spbg
