job,hiring company,comapny address,shift,links
Outpatient Pharmacist - Nile Badrawi Hospital,Cleopatra Hospitals Group,"Maadi, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/1x9cRkKmcXt9-Outpatient-Pharmacist---Nile-Badrawi-Hospital-Cleopatra-Hospitals-Group-Cairo-Egypt?o=1&l=sp&t=sj&a=pharmacist|search-v3|hpb
Pharmacist - Heliopolis (Afternoon Shift),Zikry-Pharmacies ,"Heliopolis, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/qXrENHsjtJxK-Pharmacist---Heliopolis-Afternoon-Shift-Zikry-Pharmacies-Cairo-Egypt?o=2&l=sp&t=sj&a=pharmacist|search-v3|hpb
Methodology & Stability Pharmacist,APEX Pharma,"Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/4CTnvdoMDIb2-Methodology-Stability-Pharmacist-APEX-Pharma-Cairo-Egypt?o=3&l=sp&t=sj&a=pharmacist|search-v3|hpb
Pharmacist,Dr. Shrouk Noureldin Pharmacy,"6th of October, Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/T4cpq8alRsnJ-Pharmacist-Dr-Shrouk-Noureldin-Pharmacy-Giza-Egypt?o=4&l=sp&t=sj&a=pharmacist|search-v3|hpb
Area Manager Pharmacist,Khalil Pharmacies,"Alexandria, Egypt ",Full time,https://wuzzuf.net/jobs/p/Uibn9oSfka5d-Area-Manager-Pharmacist-Khalil-Pharmacies-Alexandria-Egypt?o=5&l=sp&t=sj&a=pharmacist|search-v3|hpb
Business Development Senior Specialist (Pharmacist),EVA Cosmetics ,"6th of October, Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/6Vy5Tjrjxj9y-Business-Development-Senior-Specialist-Pharmacist-EVA-Cosmetics-Giza-Egypt?o=6&l=sp&t=sj&a=pharmacist|search-v3|hpb
Pharmacist - R&D Technical Support,Optimarc pharma,"Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/P4BUq8J0yVv4-Pharmacist---RD-Technical-Support-Optimarc-pharma-Cairo-Egypt?o=7&l=sp&t=sj&a=pharmacist|search-v3|hpb
Pharmacist (Marketing and Sales Coordinator),Optimarc pharma,"Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/YNPNRsPgYXHq-Pharmacist-Marketing-and-Sales-Coordinator-Optimarc-pharma-Cairo-Egypt?o=8&l=sp&t=sj&a=pharmacist|search-v3|hpb
Research and Development Pharmacist/Specialist,Joviality,"New Cairo, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/JPxGfBOlXXTb-Research-and-Development-PharmacistSpecialist-Joviality-Cairo-Egypt?o=9&l=sp&t=sj&a=pharmacist|search-v3|hpb
Pharmacist,Ayoub Pharmacy,"Nasr City, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/04HrQqpMvyzr-Pharmacist-Ayoub-Pharmacy-Cairo-Egypt?o=10&l=sp&t=sj&a=pharmacist|search-v3|hpb
Pharmacist Assistant - Maadi,Vezeeta.com,"Maadi, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/ELkrljM6IBfa-Pharmacist-Assistant---Maadi-Vezeeta-com-Cairo-Egypt?o=11&l=sp&t=sj&a=pharmacist|search-v3|hpb
Pharmacist Assistant - Nasr City,Vezeeta.com,"Nasr City, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/UHeOxaqDrDK9-Pharmacist-Assistant---Nasr-City-Vezeeta-com-Cairo-Egypt?o=12&l=sp&t=sj&a=pharmacist|search-v3|hpb
"""Pharmacist"" Warehouse Manager (Obour)",Ibn Sina Pharma,"Obour City, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/nYhUN5F7gmsg-Pharmacist-Warehouse-Manager-Obour-Ibn-Sina-Pharma-Cairo-Egypt?o=13&l=sp&t=sj&a=pharmacist|search-v3|hpb
R&D Pharmacist Supervisor,Global Napi Pharmaceuticals,"6th of October, Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/h19l3tfUNWsB-RD-Pharmacist-Supervisor-Global-Napi-Pharmaceuticals-Giza-Egypt?o=14&l=sp&t=sj&a=pharmacist|search-v3|hpb
Pharmacist Assistant - Giza,Vezeeta.com,"Giza, Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/xImkgJWMxay8-Pharmacist-Assistant---Giza-Vezeeta-com-Giza-Egypt?o=15&l=sp&t=sj&a=pharmacist|search-v3|hpb
